"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux","GenFlux","GenConc"
2000-01-01,117.017035745188,54786,1,1,2000.00079690346,1801,2000,1,4.75686668168824,NA,NA,-4.103942245367,0.850472076497414,0.0237775008025187,240.396997939739,0.0322597906917519,734.899780435674,248.667447438871,0.0245955252424583
2000-01-02,115.309843444529,54787,1,2,2000.0035291439,1801,2000,2,4.74216994892013,NA,NA,-4.10489571986943,0.847791572803206,0.0236897616343243,236.015657737241,0.0322436696191661,710.409330051102,226.176289076604,0.0227021479292105
2000-01-03,114.384655344172,54788,1,3,2000.00626138434,1801,2000,3,4.73411409117244,NA,NA,-4.10199549316996,0.845365690717835,0.0237063531092421,234.285957780586,0.0322065005460238,673.124356555512,226.527717853101,0.0229213313479319
2000-01-04,139.199521353754,54789,1,4,2000.00899362477,1801,2000,4,4.93045546217388,NA,NA,-3.98766741434311,0.849424430957204,0.0267724269297036,321.987658817645,0.0314661602146916,586.653194516504,302.808620220962,0.0251777403156355
2000-01-05,202.299551078121,54790,1,5,2000.01172586521,1801,2000,5,5.30429667791146,NA,NA,-3.77967977155927,0.849937560120063,0.0329436515870703,575.811584087475,0.0312009639497949,544.065488379944,556.441872558588,0.0318354609122318
2000-01-06,170.171293665715,54791,1,6,2000.01445810565,1801,2000,6,5.13135269238066,NA,NA,-3.86852674582762,0.848866739898402,0.030032652619534,441.564078108595,0.0308509031056354,527.133446619646,435.829786089643,0.0296426390093648
2000-01-07,151.061754158335,54792,1,7,2000.01719034608,1801,2000,7,5.01223587397641,143.422041820181,NA,-3.92643012610823,0.844525195573161,0.0282853746185118,369.173229715992,0.0300732548885289,558.501609933034,361.878677565709,0.0277264794342545
2000-01-08,132.183511751045,54793,1,8,2000.01992258652,1801,2000,8,4.87873835046504,145.576899048373,NA,-3.99006219664339,0.838468345002736,0.0264721471139942,302.329270291799,0.0300397504780377,536.377476317614,281.208140613024,0.0246227672920185
2000-01-09,123.966960447872,54794,1,9,2000.02265482696,1801,2000,9,4.81456223493051,146.806904696538,NA,-4.01646265146961,0.834505495960872,0.0256805682325535,275.058027621836,0.029389122759835,599.807491709239,273.006126103504,0.0254889941221609
2000-01-10,120.145052546397,54795,1,10,2000.0253870674,1801,2000,10,4.78324693685636,147.625343570782,NA,-4.02541823492455,0.8314968321542,0.0253686907213623,263.340519530517,0.029275867918251,586.585331509339,290.544780026513,0.0279893906123501
2000-01-11,131.742945950875,54796,1,11,2000.02811930783,1801,2000,11,4.87539979764834,146.565911214956,NA,-3.97239774718387,0.831401387012304,0.0267788625362884,304.812827113894,0.0301549151185784,581.820540901476,264.15569880609,0.0232069930044721
2000-01-12,149.927297357898,54797,1,12,2000.03085154827,1801,2000,12,5.00469764514826,139.124846498131,NA,-3.90231135756463,0.83188507084985,0.0286715626632083,371.403351456977,0.031938810634079,722.034521171914,351.781453038612,0.0271567931064278
2000-01-13,166.107074564145,54798,1,13,2000.03358378871,1801,2000,13,5.10717976074065,138.547401091262,NA,-3.84682837194346,0.830896465456874,0.0302012111982212,433.437250213187,0.0331424581560322,911.388403072363,420.445471417727,0.0292959649254348
2000-01-14,151.028711758322,54799,1,14,2000.03631602914,1801,2000,14,5.01201711566476,138.542706417662,NA,-3.88757572327698,0.827054137016199,0.0289679405799058,377.999200633662,0.0346239266352951,923.055615989053,395.49564049976,0.0303087789455727
2000-01-15,140.631360054307,54800,1,15,2000.03904826958,1801,2000,15,4.9406891518189,139.742979109349,NA,-3.91569936173729,0.823273937085049,0.0281186243139336,341.656736842764,0.0351670822143942,959.481555083073,317.266196559259,0.026111263225774
2000-01-16,130.575446750424,54801,1,16,2000.04178051002,1801,2000,16,4.86649834855516,140.681914724384,NA,-3.94421875486288,0.819622197305293,0.0272528132172284,307.458569754327,0.034294827533089,830.754000230968,298.838034853242,0.0264886978189177
2000-01-17,124.253328247983,54802,1,17,2000.04451275046,1801,2000,17,4.81686960415215,141.265619705525,NA,-3.96048423729652,0.816535830104978,0.0267278831756106,286.936857353624,0.0328805908261786,654.107297248745,278.804669876511,0.025970377991874
2000-01-18,121.070240646754,54803,1,18,2000.04724499089,1801,2000,18,4.79091803121401,139.749238697829,NA,-3.96538064699077,0.813911007362858,0.0265215752602273,277.428110321092,0.0313900268073258,531.318022004939,325.586452711565,0.0311254169568688
2000-01-19,118.162506745631,54804,1,19,2000.04997723133,1801,2000,19,4.76660800566933,135.236088205491,NA,-3.96920370679673,0.811371855772257,0.0263437743862088,268.949930568403,0.0308625210993324,561.81011229899,237.67065888498,0.0232799547583267
2000-01-20,116.290102244908,54805,1,20,2000.05270947177,1801,2000,20,4.75063510335821,128.158078597504,NA,-3.96904327552559,0.80899150441023,0.0262777212113,264.024479787143,0.0306062207184476,542.895285952103,266.202971823361,0.0264945412820561
2000-01-21,114.252485644121,54806,1,21,2000.0554417122,1801,2000,21,4.7329579385526,122.932901922499,NA,-3.96941064310159,0.806632621858044,0.0261952724788011,258.584399380344,0.0302244137660489,493.138931154173,220.660186758367,0.0223534510635986
2000-01-22,112.512250943449,54807,1,22,2000.05817395264,1801,2000,22,4.71760926582078,118.937730895659,NA,-3.96855293941368,0.80433927043519,0.0261465661334795,254.172298474326,0.0297363626319256,467.000863113926,265.020794573974,0.0272625450281933
